Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Nhân Viên Lễ Tân,Geleximco Group,15tr-20tr ₫/tháng,"Hà Nội, Hanoi, Vietnam, 36 Hoàng Cầu, Đống Đa, Hà Nội","Yêu cầu
1. Trình độ:
- Tốt nghiệp Đại học Ngoại thương, Báo chí, Quốc gia, Kinh tế quốc dân;
- Tiếng Anh hoặc tiếng Trung.

2. Kiến thức và kỹ năng:
- Thành thạo các kỹ năng giao tiếp, xử lý tình huống.
- Có khả năng làm việc độc lập và theo nhóm.
- Kỹ năng sắp xếp, tổ chức công việc.
- Thành thạo tin học văn phòng.
- Ưu tiên ứng viên có khả năng giao tiếp bằng tiếng Anh hoặc các ngoại ngữ khác (Tiếng Trung)

3. Phẩm chất:
- Giao tiếp tốt, ngoại hình ưa nhìn, cao trên 1m65, dưới 55kg.
- Có tinh thần trách nhiệm cao, thái độ làm việc chuyên nghiệp.
- Trung thực, cẩn thận.
- Khả năng thích ứng nhanh với môi trường làm việc mới.

V. Quyền lợi:
- Thu nhập: 15,000,000 - 20,000,000/tháng (tùy năng lực, k/n)
- Hỗ trợ bữa ăn trưa tại Công ty
- Thời gian: 40h/tuần (làm việc từ thứ Hai đến thứ Sáu), được nghỉ các ngày Lễ Tết trong năm.
- Làm việc trong môi trường chuyên nghiệp.
- Chính sách phúc lợi đầy đủ: BHXH, khám sức khỏe toàn diện hàng năm, thưởng Lễ Tết, sinh nhật, lương tháng 13 ...",14/05/2025,Hành Chính Văn Phòng > Lễ Tân/Tiếp Tân,Bất Động Sản/Cho thuê,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,,Mới Tốt Nghiệp,"Lễ Tân, Tiếng Anh, Hành Chính, Chăm Sóc Khách Hàng, Lễ Tân Hành Chính",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,,Toàn thời gian,"Hành Chính Văn Phòng, Lễ Tân/Tiếp Tân, Bất Động Sản/Cho thuê, Lễ Tân, Tiếng Anh, Hành Chính, Chăm Sóc Khách Hàng, Lễ Tân Hành Chính, Geleximco Group, Hà Nội"
Customer Quality Engineer,Công Ty TNHH Hutchinson Việt Nam,Thương lượng,"Hai Duong, Hưng Yên, Hung Yen, Vietnam, Hà Nội, Vietnam, Xã Ngọc Lâm, Thị Xã Mỹ Hào, Tỉnh Hưng Yên","5 năm kinh nghiệm làm việc tại công ty ô tô quốc tế ở vị trí Chất lượng/Dịch vụ Khách hàng.
Bằng kỹ sư công nghiệp hoặc cơ khí.
Giao tiếp thành thạo bằng tiếng Anh, cả viết và nói.
Kiến thức xuất sắc về các tiêu chuẩn ô tô như ISO TS, IATF và các tiêu chuẩn khác.

- 5 years’ experience in international automotive company in Quality/Customer Service position
- Industry or mechanical engineer’s degree
- Fluently communicating in English, written, and spoken
- Excellent knowledge of ISO TS, IATF and other automotive standards",14/05/2025,Sản Xuất > Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,Sản xuất,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Quality Control, Quality Assurance, QA, Quality Management, Customer Service Experience",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Sản xuất, Quality Control, Quality Assurance, QA, Quality Management, Customer Service Experience, Công Ty TNHH Hutchinson Việt Nam, Hải Dương, Hưng Yên, Hà Nội"
Trưởng Phòng Marketing,Grand Pioneers Halong Bay Cruise,"$ 1,000-1,500 /tháng","Pan Pacific Hanoi, Đường Thanh Niên, Road, Trúc Bạch, Ba Đình, Hà Nội, Việt Nam, Pan Pacific Hanoi, Đường Thanh Niên, Road, Trúc Bạch, Ba Đình, Hà Nội, Việt Nam","• Tốt nghiệp đại học trở lên các chuyên ngành có liên quan
• Có kinh nghiệm trên 3 năm ở vị trí tương đương, từng làm việc trong ngành khách sạn, du thuyền, du lịch nghỉ dưỡng cao cấp là lợi thế
• Am hiểu về các phương thức truyền thông và marketing thương hiệu, quảng bá sản phẩm
• Có mối quan hệ tốt với các đối tác trong lĩnh vực PR- Marketing
• Kỹ năng lãnh đạo, quản lý tốt
• Sử dụng thành thạo tiếng Anh (nghe, nói, đọc, viết)
• Sẵn sàng đi công tác giữa Hà Nội, Hồ Chí Minh, Quảng Ninh",14/05/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị",Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,3,Cử nhân,Không hiển thị,Không hiển thị,08:00 - 17:00,Trưởng phòng,"Marketing Strategy, Product Development, Quảng Bá Sản Phẩm, Tiếp Thị Thương Hiệu, Truyền Thông Quảng Cáo",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T7,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Marketing Strategy, Product Development, Quảng Bá Sản Phẩm, Tiếp Thị Thương Hiệu, Truyền Thông Quảng Cáo, Grand Pioneers Halong Bay Cruise, Hà Nội"
Export Sales (Building Material) - English/Chinese Speaking,Navigos Search's Client,Thương lượng,"Company site - in Hanoi, Hanoi","- Bachelor’s degree in Engineering, International Business, International Trade, Foreign Trade Economics, or related fields.
- At least 3 years of experience in international sales, preferably in B2B models and industries such as metals or construction materials.
- Language skills: fluent in English or Chinese (candidates fluent in both are preferred).
- Excellent communication and negotiation skills with international clients; adaptable and able to work under pressure.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Vật liệu xây dựng,3,Cử nhân,Không hiển thị,Không hiển thị,08:00 - 17:00,Nhân viên,"B2B Sales, Export sales, Sales Overseas, Building Material, English or Chinese",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Vật liệu xây dựng, B2B Sales, Export sales, Sales Overseas, Building Material, English or Chinese, Navigos Search's Client, Hà Nội"
Senior Web Developer,Kinderworld International Group (Singapore International School),$ 700-800 /tháng,"106, Đường Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh, 106 Nguyen Van Troi Street, Phu Nhuan District, Ho Chi Minh City, Vietnam","- Bachelor’s degree in Computer Science, Web Development, or a related field (or equivalent experience)
- Minimum of 2 years of professional experience in web development
- Good in English",14/05/2025,Công Nghệ Thông Tin/Viễn Thông > System/Cloud/DevOps Engineer,Giáo dục/Đào Tạo,2,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"JavaScript, CSS, AngularJS, HTML, Seo",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, System/Cloud/DevOps Engineer, Giáo dục/Đào Tạo, JavaScript, CSS, AngularJS, HTML, Seo, Kinderworld International Group (Singapore International School), Hồ Chí Minh"
LG Dream Code Program for Final Year Students and Fresher,LG Electronics Development Vietnam Company Limited,Từ 20tr ₫/tháng,"17F – 21F Lotte Office, Lotte Mall, Phu Thuong, Tay Ho, Hanoi., The 3rd Floor, Vinh Trung Plaza, 255 Hung Vuong street, Hai Chau District, Da Nang City, Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","• Là sinh viên năm cuối hoặc đã tốt nghiệp Đại học vào năm 2023, 2024 hoặc 2025.
• Thành thạo ít nhất một trong các ngôn ngữ lập trình: C, C++, Java hoặc Python.
• Có tư duy logic, kỹ năng giải thuật tốt, yêu thích thử thách lập trình.
• Có khả năng tham gia vòng chung kết offline tại Hà Nội hoặc Đà Nẵng (ngày 28/06/2025).",14/05/2025,Công Nghệ Thông Tin/Viễn Thông > Phần Mềm Máy Tính,Phần Mềm CNTT/Dịch vụ Phần mềm,Không yêu cầu,Cử nhân,22-24,30,09:00 - 18:00,Mới Tốt Nghiệp,"C, C++, Java, Logical Thinking, Python",Tiếng Anh,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Phần Mềm Máy Tính, Phần Mềm CNTT/Dịch vụ Phần mềm, C, C++, Java, Logical Thinking, Python, LG Electronics Development Vietnam Company Limited, Hà Nội, Đà Nẵng"
Trưởng Nhóm Quản Trị Hàng Hóa,Công Ty TNHH Thời Trang H Và A (Hệ Thống Thời Trang Cao Cấp Pantio),15tr-25tr ₫/tháng,"Ngõ 51 Thanh Liệt, Thanh Châu, Thanh Liệt, Thanh Trì, Hà Nội, Việt Nam, Khu nhà ở Liền Kề Hải Ngân, Thanh Liệt, Thanh Trì, Hà Nội","• Nam/Nữ, Độ tuổi từ 25- 32, Tốt nghiệp Đại học chuyên ngành Quản trị kinh doanh, Kinh tế, Ngoại thương, hoặc các ngành liên quan.
• Ít nhất 3 năm kinh nghiệm ở vị trí tương đương, ưu tiên ứng viên đã làm việc trong ngành bán lẻ/thời trang.
• Kỹ năng tổ chức, lập kế hoạch, và quản lý thời gian tốt.
• Thành thạo các công cụ Excel, Power Pivot, Power BI.
• Có kiến thức, kỹ năng về dữ liệu, SQL là một lợi thế.",14/05/2025,Bán Lẻ/Tiêu Dùng > Trợ Lý Bán Lẻ,Thời trang/Trang sức,3,Cử nhân,Không hiển thị,Không hiển thị,08:00 - 17:30,Trưởng phòng,"Bán Lẻ, Quản Trị Hàng Hóa, Vận Chuyển Hàng Hóa, Xử Lý Hàng Lỗi, Xuất nhập hàng",Tiếng Việt,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Bán Lẻ/Tiêu Dùng, Trợ Lý Bán Lẻ, Thời trang/Trang sức, Bán Lẻ, Quản Trị Hàng Hóa, Vận Chuyển Hàng Hóa, Xử Lý Hàng Lỗi, Xuất nhập hàng, Công Ty TNHH Thời Trang H Và A (Hệ Thống Thời Trang Cao Cấp Pantio), Hà Nội"
Leasing Manager (Hsk6),Vietnamworks' Client,Thương lượng,"Ho Chi Minh, Vietnam, Pearl Plaza - Floor 8, 561A Dien Bien Phu, Ward 25, Binh Thanh District, HCMC.","- Bachelor's degree in Real Estate, Business Administration, or a related field.
- Minimum 3 years of experience in commercial real estate leasing, with a strong focus on warehouse and industrial properties, or 3PLs.
- Strong command in both Mandarin and English (verbal and writing)
- Proven track record of successful lease negotiations and closing deals.
- Strong understanding of the local real estate market and industry trends.
- Excellent communication, interpersonal, and negotiation skills.
- Strong analytical and problem-solving skills.
- Proficiency in Microsoft Office Suite and CRM software.  
- Ability to work independently and as part of a team.
- Strong work ethic and a results-oriented approach.",14/05/2025,"Bất Động Sản > Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản",Bất Động Sản/Cho thuê,5,Cử nhân,28-35,Không hiển thị,,Trưởng phòng,"Logistics Knowledge, Industrial Real Estate, Leasing Industrial Properties, Leasing, Mandarin Chinese",Tiếng Trung Quốc,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Bất Động Sản, Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản, Bất Động Sản/Cho thuê, Logistics Knowledge, Industrial Real Estate, Leasing Industrial Properties, Leasing, Mandarin Chinese, Vietnamworks' Client, Hồ Chí Minh"
Territory/ Sales Supervisor (Giám Sát Bán Hàng),"Vinataba-Philip Morris Limited, HCMC Branch",Thương lượng,"PMI Sales Office HN, 11th Floor, The Metropolitan, 273 Dong Khoi Street, D1, HCMC","• Tốt nghiệp đại học
• Tối thiểu 02 năm kinh nghiệm trong bán hàng ngành hàng tiêu dùng
• Thành thạo kỹ năng Tin học văn phòng (Microsoft Office, đặc biệt là Excel)
• Kỹ năng giao tiếp tốt, nhanh nhẹn nhiệt tình
• Tư duy kinh doanh nhạy bén và tinh thần trách nhiệm cao.
• Kỹ năng quản lý công việc hiệu quả
• Tiếng Anh tốt là một lợi thế
• Đang sinh sống và làm việc tại khu vực Hà Nội (Huyện Sơn Tây và các khu vực lân cận)",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Hàng tiêu dùng,2,Cử nhân,Không hiển thị,Không hiển thị,08:00 - 17:00,Nhân viên,"Kinh Doanh, Kỹ năng tin học văn phòng, Phân Tích Thị Trường, Quản Lý Kênh Phân Phối",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Kinh Doanh, Kỹ năng tin học văn phòng, Phân Tích Thị Trường, Quản Lý Kênh Phân Phối, Vinataba-Philip Morris Limited, HCMC Branch, Hà Nội"
Executive – Customer Service (From HSK 6),BW Industrial Development JSC,"$ 500-1,000 /tháng","Non-Tariff Zone and Nam Dinh Vu Industrial Park (Zone 1), Dinh Vu - Cat Hai Economic Zone, Dong Hai 2 Ward, Hai An District, Hai Phong City BW Hai Duong, Pearl Plaza - Floor 8, 561A Dien Bien Phu, Ward 25, Binh Thanh District, HCMC.","• Bachelor’s degree in Business Administration or related fields
• 3 to 5-year of experience in Customer Service
• Proficient in spoken and written Mandarin is a MUST
• Good in English communication
• Proficient in Microsoft Office
• Professional customer service skills
• Excellent verbal and written communication skills
• Strong problem-solving skill
• Well organization & time management
• Ability to work effectively within a team and independently
• Mature, patient, attentive, detail-oriented, dynamic and proactive",14/05/2025,Hành Chính Văn Phòng > Thu Mua,Sản xuất,4,Cử nhân,Không hiển thị,1,08:30 - 17:30,Nhân viên,"Customer Support, Fluent In Mandarin Chinese, Negotiation, problem-solving skills, Sales Assistant",Tiếng Trung Quốc,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T7,Toàn thời gian,"Hành Chính Văn Phòng, Thu Mua, Sản xuất, Customer Support, Fluent In Mandarin Chinese, Negotiation, problem-solving skills, Sales Assistant, BW Industrial Development JSC, Hải Phòng"
HRBP | Ưu Tiên Biết Tiếng Trung/Anh,CÔNG TY TNHH THƯƠNG MẠI LỐP XE SAILUN VIỆT NAM,Thương lượng,"566 Quốc lộ 13, Thủ Đức, TP. Hồ Chí Minh, HCM","• Tốt nghiệp Đại học chuyên ngành Quản trị Nhân lực, Tâm lý học hoặc các ngành liên quan.
• Tối thiểu 2 năm kinh nghiệm tại vị trí HRBP hoặc tương đương.
• Nắm vững Luật Lao động Việt Nam và các quy định nhân sự hiện hành.
• Kỹ năng giao tiếp, đàm phán và giải quyết vấn đề tốt.
• Có khả năng tổ chức, lập kế hoạch và quản lý thời gian hiệu quả.
• Làm việc độc lập và phối hợp nhóm tốt.
• Thành thạo tin học văn phòng (Word, Excel, PowerPoint).
• Ưu tiên ứng viên sử dụng tốt tiếng Trung hoặc tiếng Anh.
• Chịu được áp lực công việc, có tinh thần trách nhiệm và cầu tiến.

QUYỀN LỢI ĐƯỢC HƯỞNG
- Mức lương cạnh tranh, thỏa thuận theo năng lực và kinh nghiệm.
- Đầy đủ các chế độ BHXH, BHYT, BHTN theo quy định của pháp luật.
- Thưởng lễ, Tết, phép năm, khám sức khỏe định kỳ,...
- Môi trường làm việc chuyên nghiệp, thân thiện, cơ hội phát triển lâu dài.
- Được đào tạo và nâng cao nghiệp vụ thường xuyên.",14/05/2025,Nhân Sự/Tuyển Dụng > Nhân Sự Tổng Hợp,Bán lẻ/Bán sỉ,2,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Quản Trị Nhân Lực, Tâm Lý Học, Luật Lao Động, Chính Sách Nhân Sự, HRBP Management",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Bán lẻ/Bán sỉ, Quản Trị Nhân Lực, Tâm Lý Học, Luật Lao Động, Chính Sách Nhân Sự, HRBP Management, CÔNG TY TNHH THƯƠNG MẠI LỐP XE SAILUN VIỆT NAM, Hồ Chí Minh"
Senior M&E Engineer/ Project Manager,"J ROGER PRESTON VIETNAM CO., LTD","$ 1,500-2,000 /tháng","Miss Ao Dai Building, 4th Floor 21 Nguyen Trung Ngan Street, District 1, Ho Chi Minh City, Vietnam, 4th Floor, Miss Ao Dai Building, 21 Nguyen Trung Ngan Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam","• Possess the Degree in Heat & Refrigeration Engineering /Experience: Technology/ Thermal Engineering Technology
• Must have a minimum of 8 years relevant M&E design and management experience in buildings and infrastructure construction (previous Data Center/IT experience is preferred)
• Excellent interpersonal skills and self-confidence.
• Ability to make decisions in high-stress situations
• Great written and verbal communication skills
Language: English, Chinese Mandarin
Education required: Bachelor of Engineering degree
Salary and Bonus: From USD 1,500- USD 2,000 (Negotiate)",14/05/2025,Khoa Học & Kỹ Thuật > Cơ Khí & Điện Lạnh,Điện/Điện tử,8,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Thermal Engineering, M&E Design, Project Management, Mechanical Engineering",Tiếng Anh,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Khoa Học & Kỹ Thuật, Cơ Khí & Điện Lạnh, Điện/Điện tử, Thermal Engineering, M&E Design, Project Management, Mechanical Engineering, J ROGER PRESTON VIETNAM CO., LTD, Hồ Chí Minh"
Nhân Viên Kế Toán,CÔNG TY TNHH Worldwide PARTNER Logistics Việt Nam,Thương lượng,"99 Võ Chí Công, Xuân La, Tây Hồ, Hà Nội, Tầng 3 Số nhà 23/5/112 đường Hoàng Quốc Việt, Tổ 32 - Phường Nghĩa Tân - Quận Cầu Giấy - Hà Nội","- Tốt nghiệp hệ Cao đẳng trở lên chuyên ngành Kế toán, Tài chính;
- Ưu tiên các ứng viên có kinh nghiệm (Có từ 01 năm kinh nghiệm trở lên)
- Thành thạo kỹ năng tin học văn phòng;
- Chăm chỉ, nhanh nhẹn, có tinh thần trách nhiệm

*** QUYỀN LỢI
- Thu nhập thỏa thuận theo năng lực;
- Môi trường làm việc thân thiện chuyên nghiệp, đảm bảo công việc lâu dài, ổn định;
- Chế độ đãi ngộ tốt, thưởng tết, tháng tháng 13, thưởng hiệu quả công việc theo quy định công ty
- Đóng BHXH theo quy định của Pháp luật.
- Tham gia các hoạt động du lịch và teambuilding với công ty hàng năm
- Có cơ hội được đào tạo và phát huy khả năng bản thân",14/05/2025,Kế Toán/Kiểm Toán > Kế Toán Tổng Hợp,Hậu cần/Giao nhận,1,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Kế Toán Bán Hàng, Kế Toán Thanh Toán, Kế Toán Kho, Tài Chính Kế Toán, Báo Cáo Công Nợ",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tổng Hợp, Hậu cần/Giao nhận, Kế Toán Bán Hàng, Kế Toán Thanh Toán, Kế Toán Kho, Tài Chính Kế Toán, Báo Cáo Công Nợ, CÔNG TY TNHH Worldwide PARTNER Logistics Việt Nam, Hà Nội"
Kỹ Sử Thử Nghiệm Sản Phẩm Điện - Điện Tử,Dt&c VINA,Thương lượng,"Lô 01A-RD02, Khu R&D, KCNC Hòa Lạc, Km29, Đại lộ Thăng Long - Xã Tân Xã - Huyện Thạch Thất - Hà Nội., Lô 01A-RD02, Khu R&D, KCNC Hòa Lạc, Km29, Đại lộ Thăng Long, Xã Tân Xã, Huyện Thạch Thất, Thành phố Hà Nội, Việt Nam","• Ưu tiên ứng viên có kinh nghiệm là lợi thế, mức thu nhập hấp dẫn
• Ứng viên chưa có kinh nghiệm: tốt nghiệp các khoa điện - điện tử, cơ điện tử, công nghệ thông tin, điện tử viễn thông,..
• Am hiểu về các bản mạch điện, sơ đồ điện, nguồn điện của các sản phẩm điện tử, đã từng làm hoặc tiếp xúc các sản phầm đồ gia dụng, các sản phẩm ICT như loa, ipad, điện thoại, ..., Wifi
Quyền lợi
- Thu nhập thỏa thuận theo năng lực, kinh nghiệm
- Thưởng incentive, thưởng cuối năm, lễ tết, sinh nhật, hiếu hỷ,...
- Phúc lợi (ăn trưa canteen, cafe shop, teambuilding hàng năm ..., công đoàn, thưởng các ngày lễ tết, thưởng thâm niên, BHXH)
- Thời gian làm việc : 8h00 - 17h00, nghỉ trưa 1h, Nghỉ chủ nhật và 2 thứ 7 trong tháng
- Có xe đưa đón từ Hà Nội -> công ty
Địa điểm làm việc
- Hà Nội: Lô 01A-RD02, Khu R&D, KCNC Hòa Lạc, Km29, Đại Lộ Thăng Long, Xã Tân Xã, Thạch Thất",14/05/2025,Khoa Học & Kỹ Thuật > Kỹ Thuật Điện/Điện Tử,Điện/Điện tử,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,08:00 - 17:00,Nhân viên,"Kỹ Thuật Điện Tử, Kiểm Thử Sản Phẩm, Cơ Điện Tử, Kỹ Thuật Cơ Điện Tử, M&E",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T7,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Điện/Điện tử, Kỹ Thuật Điện Tử, Kiểm Thử Sản Phẩm, Cơ Điện Tử, Kỹ Thuật Cơ Điện Tử, M&E, Dt&c VINA, Hà Nội"
Procurement Senior Associate (English),Wha Group,Tới $ 700 /tháng,"Xã Nghi Long, Huyện Nghi Lộc, Tỉnh Nghệ An, Hanoi, Thanh Hoa, Nghe An, Ho Chi Minh","- Tiếng Anh giao tiếp
- Tốt nghiệp Đại học ưu tiên chuyên ngành Xây dựng/ Kỹ sư dân dụng hoặc tương đương
- Có ít nhất 5 năm kinh nghiệm làm việc có liên quan, ưu tiên có kinh nghiệm về đấu thầu xây dựng
- Ưu tiên ứng viên dưới 35 tuổi và sinh sống lâu dài tại Nghệ An

Benefit
- Gói lương hấp dẫn (Gross up to $700), thưởng hiệu suất/cuối năm
- Hưởng 100% lương trong thời gian thử việc
- Thời gian làm việc: 08 - 17h từ Thứ 2 - Thứ 6
- Tham gia bảo hiểm xã hội từ khi thử việc trên 100% lương
- Tham gia gói bảo hiểm tai nạn và chăm sóc sức khỏe
Vui lòng gửi CV ứng tuyển bằng Tiếng Anh",14/05/2025,Kiến Trúc/Xây Dựng > Phát Triển Dự Án/Đấu Thầu,Kỹ thuật xây dựng/Cơ sở hạ tầng,5,Cử nhân,25-35,1,,Nhân viên,"English fluency, Bidding, Purchasing",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Phát Triển Dự Án/Đấu Thầu, Kỹ thuật xây dựng/Cơ sở hạ tầng, English fluency, Bidding, Purchasing, Wha Group, Nghệ An"
Chuyên Viên Đào Tạo (Mức Lương Upto 25Tr),Công Ty TNHH Công Nghệ Phần Mềm Bình Anh (BA GPS),15tr-25tr ₫/tháng,"Lô 14, phố Nguyễn Cảnh Dị, phường Đại Kim, quận Hoàng Mai, TP. Hà Nội, Tòa nhà Bưu điện, Lô 14 Nguyễn Cảnh Dị, P. Đại Kim, Q. Hoàng Mai, Hà Nội.","Kinh nghiệm / Kỹ năng chi tiết
- Tốt nghiệp đại học chính quy các ngành Quản trị Nhân Sự, Kinh tế, Quản trị Kinh doanh.
- Giới tính: Nam/ Nữ. Tuổi từ 25 - 45.
- Có Ít nhất 03 năm trong lĩnh vực đào tạo, phát triển năng lực. Ưu tiên ứng viên có kinh nghiệm đào tạo cho hệ thống Kinh doanh hoặc làm việc tại các Công ty công nghệ, môi trường thương mại, bán lẻ, phân phối hoặc công ty có đội ngũ kinh doanh trên toàn quốc.

- Khả năng phân tích, suy luận logic để xây dựng và tối ưu chương trình đào tạo.
- Có kỹ năng dẫn chương trình, tổ chức sự kiện nội bộ là một lợi thế.
- Thành thạo tin học văn phòng (Word, Excel, PowerPoint).
- Hiểu biết về AI là điểm cộng lớn, thể hiện tư duy đổi mới và khát vọng chinh phục công nghệ.
- Tố chất cá nhân: Năng động, sáng tạo, tinh thần trách nhiệm cao, ham học hỏi, chủ động trong công việc, truyền cảm hứng và tạo động lực cho đội ngũ.",14/05/2025,Nhân Sự/Tuyển Dụng > Đào Tạo Và Phát Triển,Vận tải,3,Cử nhân,Không hiển thị,Không hiển thị,08:00 - 17:45,Nhân viên,"Phát triển nhân viên, Phát triển văn hoá, Quản trị Kinh doanh, Quản Trị Nhân Sự, Xây Dựng Chương Trình Đào Tạo",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Đào Tạo Và Phát Triển, Vận tải, Phát triển nhân viên, Phát triển văn hoá, Quản trị Kinh doanh, Quản Trị Nhân Sự, Xây Dựng Chương Trình Đào Tạo, Công Ty TNHH Công Nghệ Phần Mềm Bình Anh (BA GPS), Hà Nội"
Project Assistant,"Intes Co., Ltd",$ 400-700 /tháng,"tan uyen, Lầu 3, Tòa nhà Parami, Số 140 Đường Bạch Đằng 2, Phường 2, Quận Tân Bình, Tp HCM","• Bachelor’s degree or College degree.
• At least 3 years working experience at related positions as secretary and/or document controller of the INDUSTRIAL CONSTRUCTION PROJECT.
• Be well-skilled with Microsoft Office.
• Language skill: Business English
• Hard working, a team player with good interpersonal skills and comfortable liaising with people across all levels.
• Ability to work independently and thrive in a dynamic environment.",14/05/2025,Hành Chính Văn Phòng > Thư Ký,Kiến trúc/Thiết kế nội thất,2,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Tiếng Anh, Hành chính - Admin",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Thư Ký, Kiến trúc/Thiết kế nội thất, Tiếng Anh, Hành chính - Admin, Intes Co., Ltd, Bình Dương"
Nhân Viên Kinh Doanh,"Repco Nex (Vietnam) Co., Ltd",Từ $ 500 /tháng,"Số 7, Đường số 6, KCN Việt Nam – Singapore, P.Bình Hòa, TP thuận An, T.Bình Dương, Việt Nam.","• Trình độ Đại học trở lên, ưu tiên các chuyên ngành thuộc khối kinh tế: Kinh doanh quốc tế/ Quản trị kinh doanh/ Thương mại quốc tế,…
• Tiếng Anh giao tiếp
• Kỹ năng bán hàng/ giao tiếp tốt
• Thành thạo vi tính văn phòng: Word, Excel, PowerPoint",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Sản xuất,1,Cử nhân,22-35,1,08:00 - 17:00,Nhân viên,"Giao Tiếp Tiếng Anh, Kinh Doanh, Kỹ năng bán hàng, Kỹ năng bán hàng, Quản Trị Kinh Doanh, Thương Mại Quốc Tế",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Sản xuất, Giao Tiếp Tiếng Anh, Kinh Doanh, Kỹ năng bán hàng, Kỹ năng bán hàng, Quản Trị Kinh Doanh, Thương Mại Quốc Tế, Repco Nex (Vietnam) Co., Ltd, Bình Dương"
