Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
Admin Manager - Manufacturing,Masan Consumer Holdings,Thương lượng,"Tân Đông Hiệp, Dĩ An, Bình Dương, 23 Le Duan Street, District 1, HCMC","- Tổ chức công tác bảo vệ và an ninh trật tự trong toàn công ty nhằm đảm bảo an ninh con người, an toàn tài sản, giám sát việc thực hiện các Nội quy, Quy định của công ty.
- Quản lý công tác duy tu, bảo dưỡng, bảo trì, đề xuất đầu tư mua mới máy móc, phuong tiện, hệ thống, thiết bị văn phòng, văn phòng phẩm, công cụ dụng cụ, cơ sở hạ tầng liên quan đến văn phòng, tòa nhà, sân bãi, vườn cây… nhằm tạo điều kiện cho mọi hoạt động sản xuất, kinh doanh của công ty thông suốt và thuận lợi
- Quản lý công tác văn thư, lưu trữ thông tin dưới mọi hình thức: bản cứng, bản điện tử… đến và đi
- Quản lý và điều phối các phương tiện xe đưa rước của công ty bao gồm cả xe công ty và các dịch vụ thuê ngoài.
- Tổ chức hoạt động lễ tân, tiếp đón khách thăm quan…
- Quản lý dịch vụ nhà ăn trong công ty bao gồm cả hoạt động của quầy bar, pantry tại các tòa nhà văn phòng…
- Tổ chức các sự kiện, hoạt động văn thể mỹ nhằm nâng cao tinh thần và tạo sự gắn bó toàn thể nhân viên với công ty
- Quản lý, đánh giá và cùng Hành chính Kumho, MPO tham gia lựa chọn các Nhà cung, Nhà thầu nhằm đảm bảo các dịch vụ công ty được nhận đạt tiêu chuẩn với chi phí hiệu quả
- Lãnh đạo, trực tiếp thực hiện, hướng dẫn, đánh giá & xây dựng phát triển đội ngũ nhân viên nhằm đảm bảo các hoạt động hành chính thực hiện đúng thời hạn, đúng tiêu chuẩn và nằm trong ngân sách được duyệt.
- Lập & quản lý ngân sách hoạt động của phòng hành chính.","- Tối thiểu trình độ đại học chuyên ngành QTKD, kinh tế, Luật.
- 8 năm kinh nghiệm trong lĩnh vực hành chính, ít nhất 4 năm ở vị trí tương đương trong các doanh nghiệp quy mô trên 1000 người, ưu tiên có kinh nghiệm làm việc trong các công ty MNC
- Kiến thức về quản trị hành chính văn phòng, nhà máy
- Hiểu và có kiến thức về các quy định pháp luật tổng quát
- Có kiến thức về lĩnh vực sản xuất hang tiêu dùng nhanh",2025-05-20,Hành Chính Văn Phòng,Hàng tiêu dùng,5,Cử nhân,Không hiển thị,,Trưởng phòng,"Administration, Administrative Duties, Managerial Skills, Presentation Skills, Problem Solving",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Hành Chính, Hàng tiêu dùng, Administration, Administrative Duties, Managerial Skills, Presentation Skills, Problem Solving, Masan Consumer Holdings, Bình Dương",Hành Chính,0,100
Chuyên Viên Hỗ Trợ Thương Mại Ngành Hàng (Senior Trade Marketing Specialist),Công Ty Cổ Phần Sữa Việt Nam (Vinamilk),Thương lượng,"Số 10 Tân Trào, Phường Tân Phú, Quận 7, Số 10, Tân Trào, P. Tân Phú, Q.7, Tp. HCM","Chịu trách nhiệm trước Trưởng ban Hỗ trợ Thương mại ngành hàng về:
• Lên các chương trình HTTM ngắn hạn và dài hạn, các hình thức thúc đẩy việc tiêu thụ các nhóm sản phẩm ở tất cả các kênh bán hàng (kênh truyền thống, kênh khách hàng đặc biệt và kênh hiện đại).
• Hỗ trợ các Trưởng ban HTTM trong xây dựng các chương trình chiến thuật theo ngành hàng.
• Lên kế họach phân bổ chỉ tiêu khuyến mãi cho các từng NPP để đảm bảo tính hiệu quả của các chương trình khuyến mãi cho điểm lẻ.
• Tạo ra các mẫu biểu để kiểm sóat và đánh giá hiệu quả việc thực hiện các chương trình khuyến mãi cho các điểm bán sỉ và lẻ.","Học vấn:
• Tốt nghiệp Đại học - Chuyên ngành kinh tế, Quản Trị Kinh Doanh, Marketing, Ngoại thương …

Kinh nghiệm:
• Ít nhất 02 - 03 năm kinh nghiệm làm việc ở vị trí tương đương trong lĩnh vực Hỗ trợ thương mại (Trade Marketing) tại các công ty hàng tiêu dùng nhanh có quy mô lớn.

Kiến thức chuyên môn & các kỹ năng:
• Kiến thức tốt về Kinh doanh, Trade Marketing, Marketing
• Kiến thức về tài chính
• Có kiến thức về kênh phân phối/ ngành hàng
• Kỹ năng giao tiếp
• Kỹ năng đàm phán,
• Kỹ năng ra quyết định
• Kỹ năng giải quyết vấn đề

Các yêu cầu khác:
• Giao tiếp tốt tiếng Anh.
• Thành thạo vi tính văn phòng.
• Có kiến thức về Hệ thống phần mềm quản lý: SAP/Solomon/Oracle.
• Trung thực, có tinh thần đồng đội",2025-05-20,"Tiếp Thị, Quảng Cáo/Truyền Thông",Hàng tiêu dùng,0,Không giới hạn,Không hiển thị,,Nhân viên,"Trade Marketing, FMCG, Promotion Planning",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Thương Mại, Hàng tiêu dùng, Trade Marketing, FMCG, Promotion Planning, Công Ty Cổ Phần Sữa Việt Nam (Vinamilk), Hồ Chí Minh",Tiếp Thị Thương Mại,0,100
Technical Dept. Sub-Staff,CÔNG TY TNHH TSUCHIYA TSCO (HÀ NỘI),Thương lượng,"Khu Công Nghiệp Thăng Long 3 Vĩnh Phúc, Xã Thiện Kế, xã Thiện Kế, huyện Bình Xuyên, tỉnh Vĩnh Phúc, Việt Nam, KCN Thăng Long Vĩnh Phúc, xã Thiện Kế, huyện Bình Xuyên, tỉnh Vĩnh Phúc","• Operating machines and produce samples for trial (For quality improvement, evaluation for new products or so)
• Measurement some things and summarize the data
• Make documents like report, specification for production dept or so.
• Join meeting and discuss with other department for some problems.
• Periodic report to boss about working activities.","Address
• Vĩnh phúc or near our company
• (The commute is not so long.)
English skill
• Can use English when sending e-mail and making documents on PC.
• It's more better that the person can use English in daily conversation.
Academic background
• College/university graduation
• (Universities in the sciences in a broad sense)
Microsoft
• Can use Word, Excel, PowerPoint.
Experience
• Don't need some experience (However, we will assess his/her aptitude.For example, can do logical thinking.)",2025-05-20,Kỹ Thuật,Sản xuất,0,Cao đẳng,Không hiển thị,09:00 - 18:00,Mới Tốt Nghiệp,"Logical Thinking, English, Machine Tools, Measurement Tools, Technical",Bất kỳ,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kỹ Thuật, Bảo trì/Bảo Dưỡng, Sản xuất, Logical Thinking, English, Machine Tools, Measurement Tools, Technical, CÔNG TY TNHH TSUCHIYA TSCO (HÀ NỘI), Vĩnh Phúc",Bảo trì/Bảo Dưỡng,0,100
"Phó Giám Đốc Chi Nhánh Phụ Trách Kinh Doanh - Quảng Ninh, Bạc Liêu, Phan Thiết",Ngân Hàng TMCP Việt Á - Vietabank,"$ 1,500-2,000 /tháng","Bạc Liêu, Việt Nam, Thành phố Phan Thiết, Bình Thuận, Việt Nam, Lô 3-4-5, T1-2, TN TTTM Quảng Ninh, 158, Lê Thánh Tông, P.Bạch Đằng, TP Hạ Long, Tỉnh Quảng Ninh, Số 105 Chu Văn An, Phường Yết Kiêu, Quận Hà Đông, TP Hà Nội","- Triển khai công tác quản lý và chịu trách nhiệm trước Giám đốc Chi nhánh, Tổng Giám đốc về các hoạt động kinh doanh, phát triển các kênh bán hàng tại địa bàn của Chi nhánh và các Đơn vị trực thuộc theo mảng kinh doanh phụ trách, đảm bảo đúng quy định của VietABank và quy định của Pháp luật.
- Quản lý và chịu trách nhiệm về chất lượng tín dụng, tình trạng nợ của Chi nhánh và các Đơn vị trực thuộc.
Quản lý và chịu trách nhiệm về chất lượng dịch vụ, tính tuân thủ của Chi nhánh và các Đơn vị trực thuộc của mảng kinh doanh phụ trách.
- Quản lý và chịu trách nhiệm về công tác nguồn nhân lực của Chi nhánh và các Đơn vị trực thuộc của các Đơn vị thuộc quyền quản lý trực tiếp.
- Giúp Giám đốc Chi nhánh thực hiện thiết lập và duy trì mối quan hệ với cơ quan ban ngành tại địa bàn hoạt động của Chi nhánh và các Đơn vị trực thuộc.
- Tham mưu cho Giám đốc Chi nhánh, Giám đốc Vùng/Giám đốc Khối/Thành viên Ban Điều hành phụ trách, Tổng Giám đốc về các vấn đề liên quan đến hoạt động kinh doanh, Nhân sự thuộc mảng kinh doanh phụ trách.
- Báo cáo định kỳ hoặc đột xuất về tình hình kinh doanh cho Giám đốc Chi nhánh thuộc mảng phụ trách.
- Thực hiện các nhiệm vụ khác theo sự phân công của Giám đốc Chi nhánh, lãnh đạo cấp trên.","- Tốt nghiệp Đại học trở lên các chuyên ngành có liên quan: Kế toán - Tài chính Ngân hàng, Quản trị Kinh doanh...
- Ngoại ngữ: Có khả năng đọc, hiểu tài liệu chuyên ngành hoặc tương đương trình độ B (Tiếng Anh/Tiếng Hoa...) trở lên.
- Tối thiểu 05 năm kinh nghiệm làm việc trong ngành ngân hàng trong đó có ít nhất 02 năm làm việc ở các vị trí tương đương liên quan đến hoạt động/mảng kinh doanh Chi nhánh.
- Con người phù hợp với 4 giá trị cốt lõi: Chính trực, Đam mê, Trách nhiệm, Trung thành.",2025-05-20,Kinh Doanh,Ngân hàng,5,Cử nhân,Không hiển thị,,Giám Đốc và Cấp Cao Hơn,"Kinh Doanh, Kế Toán, Tài chính Ngân hàng, Tín dụng, Tham Mưu Đề Xuất",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Ngân hàng, Kinh Doanh, Kế Toán, Tài chính Ngân hàng, Tín dụng, Tham Mưu Đề Xuất, Ngân Hàng TMCP Việt Á - Vietabank, Bạc Liêu, Bình Thuận, Quảng Ninh",Bán Hàng/Phát Triển Kinh Doanh,0,100
Giảng Viên Thiết Kế Vi Mạch Bán Dẫn (Lecturer in Semiconductor IC Design),Đại Học FPT TP.HCM,Thương lượng,"Lô E2a-7, Đường D1, Đ. D1, Long Thạnh Mỹ, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh, Lô E2a-7, Đường D1, Khu Công Nghệ Cao, Long Thạnh Mỹ, Tp Thủ Đức,Tp Hồ Chí Minh","- Tham gia giảng dạy các học phần thuộc nhóm ngành thiết kế vi mạch, bao gồm (nhưng không giới hạn):
▪ Digital IC Design
▪ Analog/Mixed-Signal IC Design
▪ VLSI Design
▪ CMOS Circuit Design
▪ FPGA/ASIC Design using Verilog/VHDL
- Hướng dẫn sinh viên làm đồ án, thực tập, nghiên cứu khoa học liên quan đến lĩnh vực vi mạch và bán dẫn.
- Tham gia xây dựng, cập nhật chương trình đào tạo phù hợp với xu hướng ngành và nhu cầu doanh nghiệp.
- Phối hợp tổ chức các hoạt động chuyên môn, seminar, hội thảo học thuật, kết nối doanh nghiệp.
- Thực hiện các nhiệm vụ khác theo phân công của bộ môn.","- Tốt nghiệp Thạc sĩ hoặc Tiến sĩ các ngành: Kỹ thuật Điện – Điện tử, Kỹ thuật Máy tính, Kỹ thuật Viễn thông, Thiết kế Vi mạch, hoặc các ngành liên quan.
- Có kinh nghiệm giảng dạy hoặc làm việc thực tế trong lĩnh vực thiết kế vi mạch (analog/digital/mixed-signal, VLSI, RTL Design, FPGA/ASIC...).
- Ưu tiên ứng viên đã từng làm việc tại các công ty thiết kế vi mạch, trung tâm R&D hoặc có công bố khoa học liên quan.
- Sử dụng tốt các phần mềm chuyên dụng: Cadence, Synopsys, Mentor Graphics, ModelSim, Vivado, v.v.
- Có khả năng truyền đạt tốt, tác phong chuyên nghiệp và đam mê với giáo dục.",2025-05-20,Khoa Học & Kỹ Thuật,Giáo dục/Đào Tạo,0,Thạc Sĩ,Không hiển thị,,Nhân viên,"Thiết Kế Vi Mạch Điện Tử, IT Phần Mềm, Thiết Kế Chip, Chip Design, Giảng Dạy",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Giáo dục/Đào Tạo, Thiết Kế Vi Mạch Điện Tử, IT Phần Mềm, Thiết Kế Chip, Chip Design, Giảng Dạy, Đại Học FPT TP.HCM, Hồ Chí Minh",Kỹ Thuật Điện/Điện Tử,0,100
Legal Officer (Fluent English),"An Viet Thinh Co., Ltd (Eurofar Internaltional B.V)",Thương lượng,"124 Trường Chinh, Tân Hưng Thuận, District 12, Ho Chi Minh City, Vietnam, 124 Truong Chinh Str., Tan Hung Thuan Ward, District 12, HCM City","- 8 YEARS EXPERIENCE IN LEGAL ROLE
- FLUENT ENGLISH
- WORKING LOCATION: DIST.12 - HCM

The Legal Officer is responsible for overseeing and managing all legal matters within the company. This includes providing legal advice, ensuring compliance with laws and regulations, drafting and reviewing legal documents, and managing legal risks across all business operations.

• Responsible for legal issues of the Company, provide legal advice and support to BOD and various departments within the company.
• Draft, review, and negotiate contracts, agreements, and other legal documents to ensure the company’s interests are protected.
• Advise & handle disputes related to commercial contracts, economic contracts, or civil contracts in a timely and cost-effective manner.
• Ensure the company’s operations and business transactions comply with all relevant laws and regulations.
• Work with state agencies, departments, branches to resolve related legal issues.
• Consulting on legal related to project & implementation
• Participate in drafting contracts and documents of company, checking the legality of the Company's transactions.
• Research and regularly and promptly update changes in laws, circulars, etc. related to the Company's production and business activities.
• Check the policy system and ensure that the promulgation and enforcement of the Company's policies are in accordance with relevant legal regulations.
• Manage legal documents and records, resolve legal issues that arise for the Company.
• Other tasks requested by line manager or BOD.","• BA degree of law or higher
• VERY GOOD COMMAND IN ENGLISH IS THE MUST (work directly with foreigners)
• At least 8 years of relevant experience in corporate legal practice or in-house legal role.
• Having experience in handling disputes related to commercial or civil contracts (rental/leasing), consulting and implementing legal issues related to projects
• Having experience working with government state agencies, departments and branches
• Strong understanding of corporate, commercial, labor, investment and contract law.
• Playing proactively a professional in the field of his / her responsibility
• Excellent drafting, negotiation, and communication skills.
• High level of integrity and professionalism.
• Ability to work independently and manage multiple tasks effectively.
• Analytical thinker with strong problem-solving skills
• Accuracy, detail oriented
• Teamwork spirit and able to travel when needed.

Benefits:
• Competitive salary: negotiation
• 13th salary
• Annual salary increasing
• Annual TEAM building and regular social activities in the company
• Company laptop
• Be part of an international, young and dynamic TEAM",2025-05-20,Pháp Lý,Luật/Dịch vụ pháp lý,8,Cử nhân,1,09:00 - 18:00,Nhân viên,"Contract Negotiation, Corporate Law, Legal Compliance, Dispute Settlement, English",Tiếng Anh,Không giới hạn,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Pháp Lý, Tư Vấn Pháp Lý, Luật/Dịch vụ pháp lý, Contract Negotiation, Corporate Law, Legal Compliance, Dispute Settlement, English, An Viet Thinh Co., Ltd (Eurofar Internaltional B.V), Hồ Chí Minh",Tư Vấn Pháp Lý,0,100
Product Marketing Specialist for Home Audio Video (3rd Party contract),Sony Electronics Vietnam,Thương lượng,"Bến Nghé, District 1, Ho Chi Minh City, Vietnam, President Place - 93 Nguyen Du, Ben Nghe Ward, Dist 1","About the Role
- Analyze the HAV market size and estimate future demand.
- Monitor monthly forecast process of HAV by product & key dealers.
- Promote Sony HAV and gather Product feedback from market and customer.
- Provide continuous, constructive feedback to salespeople.
- Check and control products prices and promotion campaigns.
Audio dealers cultivation
- Build Dealer Relationships: Strengthen partnerships with key audio dealers through regular check-ins and support.
- Training: Provide product and sales training to improve dealer knowledge and sales performance.
- Sales Monitoring: Track dealer performance, set sales targets, and identify areas for improvement.
Supply Chain Operation
Ensure smooth supply chain operation by:
- Communicate with factory and relevant team to secure supply timely.
- Arrange domestic supply chain with logistics team.
- Ensure healthy stock days as per level of dealers & product.
BTL Management
- Create training asset for Promoters to enhance their knowledge about HAV.
- Be in charge of channel visibility: Collaborate with Retail team to enhance store visual and merchandising materials to ensure consistent look and feel across channels.
- Develop and monitor effectiveness of merchandising items & propose improvement ideas to help increase sellout.
Operation & KPIs Management
- Responsible to complete getting licenses for each promotion.
- Working with procurement team and external vendors to settle promotion scheme.
- Monitor weekly sell-out/sell-in by model to have quick responses to the market/timely action plans to improve sellout as well as achieve monthly sell-in plans.","Requirements:
- University degree in Marketing or related field.
- At least 2 year experience in Product Marketing.
- Good data management & analysis skills.
- Proficient in Microsoft Office. Excellence at Excel and power querry and power BI.
- Good command of English.
- Good presentation skill/ Good communication skill.
- Accuracy and attention to detail.",2025-05-20,"Tiếp Thị, Quảng Cáo/Truyền Thông",Điện/Điện tử,2,Cử nhân,Không hiển thị,,Nhân viên,"Data Management, Product Marketing, MS Office, Power Query, Power BI",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Quản Lý & Phát Triển Sản Phẩm, Điện/Điện tử, Data Management, Product Marketing, MS Office, Power Query, Power BI, Sony Electronics Vietnam, Hồ Chí Minh",Quản Lý & Phát Triển Sản Phẩm,0,100
Chuyên Viên Kinh Doanh Nội Địa Ngành Nhôm LCB Từ 11 -15Tr +% Doanh Số,Công Ty Cổ Phần Nhôm Đô Thành,Từ 11tr ₫/tháng,"KCN Phú Thị - Gia Lâm - Hà Nội, Khu công nghiệp Phú Thị , Gia Lâm, Hà Nội","Cần tuyển dụng ứng viên phụ trách các khu vực:
- Thị trường Bắc Ninh+ Bắc Giang: tuyển 1 người
-Thị trường Phú Thọ + Thái nguyên: 1 người
- Thị trường Hà Nội: tuyển 1 người
- Làm việc tại trụ sở chính 1 người
Công việc chính:
• Lập và thực hiện kế hoạch phát triển thị trường, tiếp thị sản phẩm nhôm thanh định hình của Công ty.
• Thực hiện chăm sóc, tìm kiếm và phát triển các đại lý bán hàng và phân phối sản phẩm theo đúng tuyến đã được phân công.
• Tư vấn cho khách hàng lựa chọn và sử dụng sản phẩm. Đàm phán, thương lượng với khách hàng về giá cả, chủng loại hàng hóa, thời gian giao hàng, điều khoản thanh toán,...
• Thu thập thông tin thị trường bao gồm: Thông tin về sản phẩm, dịch vụ, giá cả, điểm mạnh, điểm yếu của các đối thủ cạnh tranh. Lập báo cáo thị trường đã thu thập được.
• Đảm bảo chỉ tiêu doanh số theo yêu cầu.","• Nam/ nữ, từ 22 tuổi trở lên
• Tốt nghiệp Cao đẳng trở lên các ngành kinh tế, quản trị kinh doanh, luật, kỹ thuật, ...
• Ưu tiên ứng viên có kinh nghiệm trong các công ty sản xuất - kinh doanh ngành: Nhôm kính, cửa nhựa, cửa cuốn, vật liệu xây dựng....
• Yêu thích kinh doanh, chịu được áp lực công việc.
• Kỹ năng quản lý tốt.
• Kỹ năng giao tiếp, đàm phán, thuyết trình tốt.
• Cẩn thận, quyết đoán trong công việc.

PHÚC LỢI
• Lương cứng 11-15tr/tháng, + phụ cấp + Doanh số + hoa hồng tổng thu nhập lên tới 35tr/tháng
• Thưởng vào các ngày Lễ, Tết (08/03, 20/10, 01/05, 02/09, Tết Dương lịch, Tết Âm lịch).
• Được tham gia BHXH, BH thân thể 24/24. Ăn trưa miễn phí tại Công ty.
• Xe đưa đón CBCNV từ nội thành Hà Nội.
• Được tăng lương ít nhất 1 lần/ năm.
• Chế độ phúc lợi cho lao động: Du lịch, nghỉ mát, phép, ốm đau, tai nạn, hiếu, hỷ…",2025-05-20,Kinh Doanh,Sản xuất,1,Cao đẳng,4,08:00 - 16:30,Nhân viên,"Gia Công Áp Lực, Giao Tiếp, Kinh Doanh, Quản Lý, Đàm Phán",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2 đến Thứ 7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Sản xuất, Gia Công Áp Lực, Giao Tiếp, Kinh Doanh, Quản Lý, Đàm Phán, Công Ty Cổ Phần Nhôm Đô Thành, Hà Nội",Bán Hàng/Phát Triển Kinh Doanh,22,100
Trưởng Phòng Kinh Doanh,CÔNG TY TNHH QUỐC TẾ VẬN TẢI JIAYUNHANG,Thương lượng,"Phòng 407, Saigon Riverside Office Center, 2A - 4A Tôn Đức Thắng, Phường Bến Nghé, Phòng 407, Saigon Riverside Office Center, 2A - 4A Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP.HCM","• Lập và thực hiện kế hoạch của phòng kinh doanh theo tuần, tháng
• Tìm kiếm khách hàng mới bằng cách gặp gỡ trực tiếp, điện thoại, email... Xây dựng, duy trì và phát triển mạng lưới khách hàng của công ty.
• Tư vấn cho khách hàng có nhu cầu về dịch vụ logistics của công ty: Dịch vụ cước tàu biển, dịch vụ giao nhận, vận chuyển hàng hóa trong và ngoài nước, dịch vụ hải quan,...
• Đàm phán hiệu quả với khách hàng các phương án tối ưu nhất về giá cả và các điều khoản trong hợp đồng.
• Thực hiện việc chăm sóc khách hàng nhằm củng cố quan hệ và thúc đẩy kinh doanh.
• Bảo đảm doanh số đặt ra cho phòng
• Báo cáo thường xuyên về tình hình khách hàng, thị trường cũng như đóng góp nhiệt tình vào việc phát triển bộ phận và công ty.
• Duy trì và phát triển quan hệ tốt với các nhà cung cấp và đối tác.
• Tìm hiểu, tư vấn về xúc tiến thương mại kết hợp với mảng forwarding
• Quản lý và chịu trách nhiệm hiệu quả hoạt động của đội, nhóm, đào tạo định hướng, tư vấn và phát triển nhân sự của nhóm","• Có kinh nghiệm ở vị trí Trưởng phòng kinh doanh Logistic tại các công ty Forwarder
• Tốt nghiệp Cao đẳng/Đại học chuyên ngành Ngoại thương, Kinh doanh quốc tế, Logistics hoặc các ngành liên quan.
• Từng quản lý team > 7 người
• Có khả năng lãnh đạo, dẫn dắt đội nhóm, đào tạo và phát triển, truyền cảm hứng, động lực cho nhân sự
• Kiến thức tốt về lĩnh vực Forwarder, Supply chain,..
• Kĩ năng lập kế hoạch công việc, quản lý thời gian, đào tạo và phát triển nhân viên

QUYỀN LỢI
- Thời gian làm việc: thứ 2 đến thứ 6, từ 8h30 đến 17h30.
- Có cơ hội sang Trung Quốc để công tác, tham quan và giao lưu, gặp gỡ các đồng nghiệp tại trụ sở chính của công ty.
- Lương tháng 13 theo kết quả công việc.
- Được đóng Bảo hiểm, Bảo hiểm, BHTN theo quy định của Luật LĐ.
- Lương: Thỏa thuận.",2025-05-20,Kinh Doanh,Hậu cần/Giao nhận,3,Không giới hạn,Không hiển thị,08:30 - 17:30,Trưởng phòng,"Logistics Sales, Supply Chain, Quản Lý Doanh Số, Thủ Tục Hải Quan, Tìm Kiếm Khách Hàng",Bất kỳ,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hậu cần/Giao nhận, Logistics Sales, Supply Chain, Quản Lý Doanh Số, Thủ Tục Hải Quan, Tìm Kiếm Khách Hàng, CÔNG TY TNHH QUỐC TẾ VẬN TẢI JIAYUNHANG, Hồ Chí Minh",Bán Hàng/Phát Triển Kinh Doanh,0,100
Export Documentation Staff / Nhân Viên Chứng Từ Hàng Xuất (Competitive Salary and Attractive Bonus),CÔNG TY CỔ PHẦN Giao Nhận & Thương Mại K.l. - Chi Nhánh Hà Nội,Thương lượng,"Phòng 203, tầng 2, tòa nhà DMC, 535 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội, Phòng 203, tầng 2, tòa nhà DMC, 535 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội","As an Export Documentation Staff, your key responsibilities will include:
• Receive booking requests from customers or overseas agents.
• Communicate with customers and overseas agents to collect all necessary information.
• Provide schedules and obtain shipping approvals from customers/overseas agents.
• Make bookings with airlines or shipping lines.
• Send confirmed bookings to customers/overseas agents.
• Input and update all required data (costing, selling prices based on VAT invoices, receipts, etc.) into the system.
• Issue shipping documents and debit notes; deliver them to customers/overseas agents.
• Send pre-alerts on time.
• Handle and resolve issues with airlines, carriers, overseas agents, and customers.
• Monitor cargo status until it arrives at the final destination.
• Process payments for shipments to carriers/forwarders.
• Report special cases, issues, and work results to the Operation Manager.
• Coordinate with other departments to ensure smooth operations and compliance with requirements.","Job Requirements
• At least 1 year of experience in Logistics or Forwarding.
• University degree (priority for candidates majoring in Logistics, Economics, or Shipping Business).
• Fluent in English (both spoken and written).
• Proficient in Microsoft Office (Excel, Word, Outlook, PowerPoint).
• Careful, responsible, and able to work under high pressure.

Benefits
• Competitive salary and attractive bonus package.
• Full insurance benefits in accordance with company policy.
• Friendly, professional, and dynamic working environment.
• Opportunities for career development.",2025-05-20,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Hậu cần/Giao nhận,1,Cử nhân,Không hiển thị,,Nhân viên,"Logistics, Forwarding, Export, Shipping Documents, MS Office",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Xuất Nhập Khẩu & Thủ Tục Hải Quan, Hậu cần/Giao nhận, Logistics, Forwarding, Export, Shipping Documents, MS Office, CÔNG TY CỔ PHẦN Giao Nhận & Thương Mại K.l. - Chi Nhánh Hà Nội, Hà Nội",Xuất Nhập Khẩu & Thủ Tục Hải Quan,0,100
Kỹ Sư Thiết Kế BIM/MEP,Công Ty TNHH Mic-Tech Việt Nam,12tr-20tr ₫/tháng,"Khu Công Nghiệp DEEP C 2A, Hải Phòng, Geleximco Tower, 36 Phố Hoàng Cầu, Ô Chợ Dừa, Đống Đa, Tầng 6, tòa nhà Geleximco, 36 Hoàng Cầu, phường Ô Chợ Dừa, quận Đống Đa, Hà Nội","Nội dung công việc:
- Nhà máy điện tử, cơ khí, điện, hệ thống ống nước (MEP)
- Vẽ bản vẽ BIM
- Kiểm tra va chạm của từng hệ thống đường ống
- Phối hợp với độ thi công để giải quyết vấn đề phát sinh
- Các công việc khác theo sự phân công của lãnh đạo","- Ưu tiên ứng viên có chuyên môn phù hợp với vị trí đăng tuyển, có nhiều kinh nghiệm
- Ưu tiên ứng viên đã có kinh nghiệm về điều hòa, cơ điện, pccc
- Ưu tiên ứng viên biết Tiếng Anh hoặc Tiếng Trung
- Có thể đi công tác theo yêu cầu công việc
- Chịu khó học hỏi, tinh thần trách nhiệm cao",2025-05-20,Khoa Học & Kỹ Thuật,Điện/Điện tử,1,Cao đẳng,2,08:00 - 17:00,Nhân viên,"BIM Engineering, Electrical Engineering, Fire Protection Systems, HVAC",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 7,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Điện/Điện tử, BIM Engineering, Electrical Engineering, Fire Protection Systems, HVAC, Công Ty TNHH Mic-Tech Việt Nam, Hải Phòng, Hà Nội",Kỹ Thuật Điện/Điện Tử,24,40
