Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
[Hà Nội] Business Analyst Executive (E-commerce),Diana Unicharm JSC,Thương lượng,"CT KCN Vĩnh Tuy, Vĩnh Hưng, Hoàng Mai, Hà Nội, Việt Nam, Vinh Tuy Industrial Zone, Linh Nam, Hoang Mai, Hanoi","Required
• 1–2 years of experience in business intelligence, data analysis, or a similar role (e-commerce experience preferred).
• Proficiency in SQL and spreadsheet tools (Excel/Google Sheets).
• Experience with BI tools such as Tableau, Power BI, or Looker Studio.
• Strong analytical thinking and problem-solving skills.
• Ability to communicate data findings clearly to non-technical audiences.
• Attention to detail and commitment to data accuracy.
• Basic understanding of e-commerce operations, marketing, and sales metrics.
• English communication skills (written and verbal).
Preferred
• Knowledge of the ASEAN e-commerce market.
• Familiarity with A/B testing and digital marketing analytics.
• Experience with automation tools or scripting (e.g., Python, Google Apps Script) is a plus.",2025-05-16,Công Nghệ Thông Tin/Viễn Thông,Thương mại điện tử,2,Không giới hạn,1,08:00 - 17:00,Nhân viên,"Power BI, Tableau, Data-driven mindset, Excel - Google Sheet, SQL",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Phân Tích Kinh Doanh/Phân Tích Hệ Thống, Thương mại điện tử, Power BI, Tableau, Data-driven mindset, Excel - Google Sheet, SQL, Diana Unicharm JSC, Hà Nội",Phân Tích Kinh Doanh/Phân Tích Hệ Thống,0,100
[HCM] Data Engineer,Pizza 4P's,Thương lượng,"Saigon Pearl, Phường 22, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam, 92 Nguyen Huu Canh Street, Ward 22, Binh Thanh District, Ho Chi Minh City",,2025-05-16,Công Nghệ Thông Tin/Viễn Thông,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,3,Cử nhân,1,,Nhân viên,"Cloud Platform, Data Engineer, Data Science, Python Programming, SQL Server, SQL Server",Tiếng Anh,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Data Engineer/Data Analyst/AI, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Cloud Platform, Data Engineer, Data Science, Python Programming, SQL Server, SQL Server, Pizza 4P's, Hồ Chí Minh",Data Engineer/Data Analyst/AI,15,60
Specialist Quality Assurance,"DKSH Vietnam Co., Ltd.",Thương lượng,"VSIP 1: Khu Công Nghiệp Việt Nam-Singapore, 23 Đại Lộ Độc Lập, H. Thuận An, Bình Dương , Việt Nam, VSIP 2: Block10-12 MapleTree, đường Tạo Lực 5, VSIP 2, Phường Hòa Phú, Thành phố Thủ Dầu Một, Tỉnh, 5th Floor, Viettel Complex Tower, 285 Cach Mang Thang Tam Street, Ward 12, District 10, Ho Chi Minh City, Vietnam","- Intermediate degree
- Candidates with a pharmacy degree are preferred for the position responsible for Healthcare products
- Minimum of 01 -year working in QA role
- Have basic knowledge about ISO, GxP
- Experience with multiple aspects of the process development, analytical characterization, process scale-up
- Careful, hard-working, honesty and dynamic, high sense of responsibility, teamwork spirit
- Able to function within a quickly changing working environment with a high stress level and continuous time pressure
- Computer office skills
- Good in communicate skill.
- Good at verbal English
- Read and understand the SOP",2025-05-16,Sản Xuất,Hàng tiêu dùng,1,Trung cấp,Không hiển thị,,Nhân viên,"Quality Assurance, Qa, Kiểm Soát Chất Lượng, QA/ QC",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Hàng tiêu dùng, Quality Assurance, Qa, Kiểm Soát Chất Lượng, QA/ QC, DKSH Vietnam Co., Ltd., Bình Dương",Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,0,100
HR Manager,Navigos Search,"$ 1,200-1,700 /tháng","Hà Nội, Việt Nam, Hanoi / HCMC",,2025-05-16,Nhân Sự/Tuyển Dụng,Hàng tiêu dùng,5,,,,Trưởng phòng,"Recruitment Tools, Training Program, Performance Management, Labor Law, Interpersonal skills",Tiếng Anh,Không hiển thị,,,,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Hàng tiêu dùng, Recruitment Tools, Training Program, Performance Management, Labor Law, Interpersonal skills, Navigos Search, Hà Nội",Nhân Sự Tổng Hợp,0,100
"Executive, Sales Force Effectiveness","DKSH Vietnam Co., Ltd.",Thương lượng,"Viettel Tower, 285 Cách Mạng Tháng Tám, Phường 12 (Quận 10), Quận 10, Thành phố Hồ Chí Minh, Việt Nam, 5th Floor, Viettel Complex Tower, 285 Cach Mang Thang Tam Street, Ward 12, District 10, Ho Chi Minh City, Vietnam","- Demonstrate proficiencies in reporting tools (e.g MS Excel, Power BI…)
- Familiar with data analysis in market research or contact center is a plus",2025-05-16,Công Nghệ Thông Tin/Viễn Thông,Dịch vụ môi trường/Chất thải,1,,,,Nhân viên,"Salesforce, Sales Force Excellence tools, Data-driven mindset, Data Control",Bất kỳ,Không hiển thị,,,,"Công Nghệ Thông Tin/Viễn Thông, Data Engineer/Data Analyst/AI, Dịch vụ môi trường/Chất thải, Salesforce, Sales Force Excellence tools, Data-driven mindset, Data Control, DKSH Vietnam Co., Ltd., Hồ Chí Minh",Data Engineer/Data Analyst/AI,0,100
[HCM] Data Analyst,Pizza 4P's,Thương lượng,"Saigon Pearl, Phường 22, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam, 92 Nguyen Huu Canh Street, Ward 22, Binh Thanh District, Ho Chi Minh City","1. Required Qualifications
• Bachelor‘s degree in Statistics, Mathematics, Economics, Computer Science, or related quantitative field
• Minimum 3 years of experience in Data Analysis or Analytics Engineering, with a proven ability to deliver actionable insights from large datasets
• Strong SQL skills and hands-on experience with the modern data stack on cloud platforms such as GCP, AWS, or Azure
• Experience with BI/visualization tools (e.g., Superset, Looker, Metabase), with deep expertise in designing and implementing interactive dashboards and comprehensive reports to deliver actionable insights
• Skilled in data analysis and transformation, with expertise in tools like dbt, Dataform, or equivalent, to design and refine data models that support analytical reporting and business intelligence
• Experience with at least one programming or scripting language (Python, R) for data manipulation and analysis
• Demonstrated ability to translate complex data findings into actionable business recommendations
• Solid understanding of data quality, security, and documentation best practices
• Strong problem-solving skills, attention to detail, and a self-learning attitude
• Proficient in English, both written and verbal, with the ability to read technical documentation and communicate effectively with cross-functional teams

2. Preferred Skills
• Experience in the restaurant, hospitality, or retail industry
• Knowledge of restaurant metrics and KPIs (food cost, table turnover, customer acquisition cost, etc.)
• Experience with A/B testing and experimental design
• Familiarity with statistical analysis methods and techniques
• Knowledge of dimensional data modeling and data warehouse concepts
• Experience with geospatial analysis for location-based insights
• Understanding of machine learning concepts and applications in business analytics
• Experience working with POS data, customer feedback systems, and inventory management platforms",2025-05-16,Công Nghệ Thông Tin/Viễn Thông,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,2,Cử nhân,2,9:00 - 18:00,Nhân viên,"Dashboard, Data Analysis, Data Modeling, Data Visualization, SQL",Tiếng Anh,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Data Engineer/Data Analyst/AI, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Dashboard, Data Analysis, Data Modeling, Data Visualization, SQL, Pizza 4P's, Hồ Chí Minh",Data Engineer/Data Analyst/AI,15,60
Environmental Specialist,Navigos Search,"$ 1,000-1,300 /tháng","Ha Tinh, Vietnam, Hanoi / HCMC",,2025-05-16,Kiến Trúc/Xây Dựng,Sản xuất và Phân phối Điện/Khí đốt/Nước,5,,,,Nhân viên,"Environmental Technology, Environmental Technology, Incident Investigation, Ambient Air Monitoring, Communication Skills",Tiếng Anh,Không hiển thị,,,,"Kiến Trúc/Xây Dựng, An Toàn Lao Động, Sản xuất và Phân phối Điện/Khí đốt/Nước, Environmental Technology, Environmental Technology, Incident Investigation, Ambient Air Monitoring, Communication Skills, Navigos Search, Hà Tĩnh",An Toàn Lao Động,0,100
Import -Export & Commercial Staff,Navigos Search,$ 500-800 /tháng,"Hà Nội, Việt Nam, Hanoi / HCMC","• Bachelor’s degree in international business, Logistics, Foreign Trade, or a related field
• 3–5 years of working experience in import/export and commercial operations, preferably in power, energy, or industrial equipment distribution
• Strong knowledge of customs clearance procedures, Incoterms 2020, and government licensing for technical equipment
• Fluent in English (both written and verbal); technical vocabulary is an advantage
• Proficiency in Microsoft Office; experience with logistics management systems is preferred
• Detail-oriented, well-organized, and capable of managing high-value, time-sensitive shipments
• Strong interpersonal skills and ability to work effectively in a cross-functional and multinational team",2025-05-16,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Sản xuất,3,Cử nhân,Không hiển thị,09:00 - 18:00,Nhân viên,"Import-Export, Contract Management, Customs Clearance, Logistics Management System, Interpersonal skills",Tiếng Anh,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Xuất Nhập Khẩu & Thủ Tục Hải Quan, Sản xuất, Import-Export, Contract Management, Customs Clearance, Logistics Management System, Interpersonal skills, Navigos Search, Hà Nội",Xuất Nhập Khẩu & Thủ Tục Hải Quan,0,100
Legal Manager (Energy Sector),Navigos Search,Thương lượng,"Đường Lê Duẩn, Bến Nghé, District 1, Ho Chi Minh City, Vietnam, HCMC",,2025-05-16,Pháp Lý,Khai khoáng/Dầu khí,8,Cử nhân,Không hiển thị,,Trưởng phòng,"Legal, Contract Review, Renewable Energy Projects",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Pháp Lý, Quản Lý Thi Hành Pháp Luật, Khai khoáng/Dầu khí, Legal, Contract Review, Renewable Energy Projects, Navigos Search, Hồ Chí Minh",Quản Lý Thi Hành Pháp Luật,0,100
Electrical Maintenance Engineer,Navigos Search's Client,$ 700-850 /tháng,"Hà Nội – Bắc Ninh, Hanoi","• Kinh nghiệm: Có kinh nghiệm về bảo trì cơ điện, có khả năng đọc và hiểu bản vẽ điện, cơ khí.
• Kỹ năng: Kỹ năng giải quyết vấn đề, khả năng làm việc nhóm và tuân thủ quy định an toàn 6S.
• Sẵn sàng làm việc: Sẵn sàng hỗ trợ sửa chữa trong các ca khác khi cần thiết.",2025-05-16,Kỹ Thuật,Sản xuất,1,Trung cấp,Không hiển thị,08:00 - 17:00,Nhân viên,"Bảo Trì Cơ Điện, Sửa Chữa Bảo Dưỡng, Electrical Maintenance, Machinery Maintenance, Facility Maintenance",Tiếng Anh,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kỹ Thuật, Bảo trì/Bảo Dưỡng, Sản xuất, Bảo Trì Cơ Điện, Sửa Chữa Bảo Dưỡng, Electrical Maintenance, Machinery Maintenance, Facility Maintenance, Navigos Search's Client, Hà Nội",Bảo trì/Bảo Dưỡng,0,100
Chief Accountant & Administrator,CÔNG TY TNHH MIAVIT VIỆT NAM,30tr-50tr ₫/tháng,"Factory No. 44, Road No. 10 (Cluster of factories for rent phase 4), Long Thanh Industrial Park, Tam An Village, Long Thanh District, Dong Nai Province, Tầng 04, Tòa nhà Nam Giao, 261-263 Phan Xích Long, Phường 02, Quận Phú Nhuận, TPHCM",,2025-05-16,Kế Toán/Kiểm Toán,Bán lẻ/Bán sỉ,5,Cử nhân,1,08:00 - 16:00,Giám Đốc và Cấp Cao Hơn,"Accounting, Auditing, Kế Toán, Kiểm Toán, Admin",Bất kỳ,Người Việt Nam,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Bán lẻ/Bán sỉ, Accounting, Auditing, Kế Toán, Kiểm Toán, Admin, CÔNG TY TNHH MIAVIT VIỆT NAM, Đồng Nai",Kế Toán Tài Chính,0,100
Kế toán Hàng hoá Tài sản,"CELLPHONES - HỆ THỐNG BÁN LẺ ĐIỆN THOẠI DI ĐỘNG, LAPTOP VÀ CÁC SẢN PHẨM CÔNG NGHỆ TOÀN QUỐC",14tr-17tr ₫/tháng,"350 Võ Văn Kiệt, Cô Giang, 350 Đường Võ Văn Kiệt, Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","• Tốt nghiệp Cao đẳng trở lên chuyên ngành kế toán, kinh tế hoặc chuyên ngành liên quan
• Có từ 2 năm kinh nghiệm kế toán hàng hóa - tài sản, tổng hợp hoặc kế toán Kho",2025-05-16,Kế Toán/Kiểm Toán,Bán lẻ/Bán sỉ,2,Trung cấp,4,8:30 - 17:30,Nhân viên,"Cẩn Thận, Kế Toán Hàng Tồn Kho, Kiểm Kê Hàng Hóa, Phân Tích Số Liệu, Quản Lý Tài Sản",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Chi Phí, Bán lẻ/Bán sỉ, Cẩn Thận, Kế Toán Hàng Tồn Kho, Kiểm Kê Hàng Hóa, Phân Tích Số Liệu, Quản Lý Tài Sản, CELLPHONES - HỆ THỐNG BÁN LẺ ĐIỆN THOẠI DI ĐỘNG, LAPTOP VÀ CÁC SẢN PHẨM CÔNG NGHỆ TOÀN QUỐC, Hồ Chí Minh",Kế Toán Chi Phí,23,60
Kế Toán Thuế thu nhập từ trên 14 triệu,"CELLPHONES - HỆ THỐNG BÁN LẺ ĐIỆN THOẠI DI ĐỘNG, LAPTOP VÀ CÁC SẢN PHẨM CÔNG NGHỆ TOÀN QUỐC",14tr-18tr ₫/tháng,"350 Võ Văn Kiệt, Cô Giang, 350 Đường Võ Văn Kiệt, Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","• Tốt nghiệp Cao đẳng/Đại Học chuyên ngành Kế Toán, Kiểm Toán, Tài Chính;
• Độ tuổi: 2000 - 1980
• Có kinh nghiệm làm việc ở vị trí Kế Toán Thuế/ Kế toán tổng hợp Chuyên Thuế từ 03 năm trở lên
• Đã từng tham gia thanh kiểm tra và quyết toán với Cơ Quan Thuế;
• Trung thực, cẩn thận, tỷ mỉ trong công việc, chịu được áp lực cao, có trách nhiệm cao với công việc;
• Kỹ năng lập, phân tích và tổng hợp các loại báo cáo thuế;
• Sử dụng thành thạo tin học văn phòng (Word, Excel,…)
• Am hiểu và nắm vững Luật Kế Toán, các quy định về Thuế, các Quy chế, Quy định và Quy trình liên quan đến hoạt động kinh doanh của Công ty.

Thời gian làm việc: 8h30-17h30 thứ 2 - thứ 6 (Thứ 7 làm online)",2025-05-16,Kế Toán/Kiểm Toán,Tài Chính,3,Cao đẳng,4,8:30 - 17:30,Nhân viên,"Kế Toán, Kiểm Toán, Tài Chính, Thuế, Tin Học Văn Phòng",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Tài Chính, Kế Toán, Kiểm Toán, Tài Chính, Thuế, Tin Học Văn Phòng, CELLPHONES - HỆ THỐNG BÁN LẺ ĐIỆN THOẠI DI ĐỘNG, LAPTOP VÀ CÁC SẢN PHẨM CÔNG NGHỆ TOÀN QUỐC, Hồ Chí Minh",Kế Toán Tài Chính,25,43
