Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
[Logistics] Sales Manager - Freight Forwarding,Navigos Search's Client,"$ 1,300-3,000 /tháng","Company site - in Hanoi, Hai Phong, Vietnam, Thành phố Đà Nẵng, Quận Hải Châu, Đà Nẵng, Việt Nam, Hanoi","(3) JOB REQUIREMENTS:
(a) EDUCATION AND QUALIFICATIONS:
• Bachelor’s degree in International Business, Logistics, Supply Chain Management, or a related field.
• Proficiency in English, both written and spoken.
(b) EXPERIENCE:
• Minimum of 5 years of experience in the freight forwarding or logistics industry.
• At least 3 years in a sales or business development managerial role.
• Strong understanding of international trade, customs regulations, and transportation documentation.
(c) SKILLS AND ATTRIBUTES:
• Excellent negotiation, communication, and interpersonal skills.
• Strong commercial and strategic mindset with customer-oriented thinking.
• Ability to analyze and interpret sales data and market intelligence.
• Proficiency in Microsoft Office and CRM systems.
• Self-motivated, goal-driven, and capable of working under pressure.
• Leadership and team management capabilities are a plus.",2025-05-15,Kinh Doanh,Vận tải,0.0,Không giới hạn,Không hiển thị,,Trưởng phòng,"Sales & Business Development, Business Management, Logistics, freight forwarding experience, Freight",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Vận tải, Sales & Business Development, Business Management, Logistics, freight forwarding experience, Freight, Navigos Search's Client, Hà Nội, Hải Phòng, Đà Nẵng",Bán Hàng/Phát Triển Kinh Doanh,0,100
"[Logistics] Sales Manager (Coload, Consolidation) - Air Freight",Navigos Search's Client,"$ 1,300-3,000 /tháng","Hà Nội, Hanoi, Vietnam, Thành phố Đà Nẵng, Quận Hải Châu, Đà Nẵng, Việt Nam, Hai Phong, Vietnam, Hanoi","(3) JOB REQUIREMENTS:
(a) EDUCATION AND QUALIFICATIONS:
• Bachelor’s degree in Logistics, International Trade, Business Administration, or a related field.
• Fluent in both spoken and written English.
(b) EXPERIENCE:
• Minimum of 5 years of experience in the air freight forwarding industry, with a focus on commercial or business development functions.
• At least 2 years in a managerial or leadership role.
• Proven track record in pricing, procurement, or freight consolidation sales is highly preferred.
(c) SKILLS AND ATTRIBUTES:
• Strong leadership, negotiation, and interpersonal skills.
• Advanced data analysis and forecasting ability.
• Proficiency in Microsoft Office, especially Excel and PowerPoint.
• Excellent communication and presentation skills.
• Strategic thinker with a hands-on approach to execution.
• Ability to work independently and under pressure in a fast-paced environment.",2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Vận tải,0.0,Không giới hạn,Không hiển thị,,Trưởng phòng,"Sales logistics, Logistics, Consolidation Service, Air Freight Experience, Sales growth strategies",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Vận tải, Sales logistics, Logistics, Consolidation Service, Air Freight Experience, Sales growth strategies, Navigos Search's Client, Hà Nội, Đà Nẵng, Hải Phòng",Vận Tải/Giao Nhận Hàng Hóa,0,100
Brand & Communications Team Head,Shinhan Vietnam Finance Company Limited,Thương lượng,"Lầu 19, tòa nhà The Mett, số 15 Trần Bạch Đằng, phường Thủ Thiêm, Thành phố Thủ Đức, 17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam","III. Job Requirements
1. Qualification: Bachelor degree in Comm./MarCom/Media/International Relations or related field
2. Work Experience: 5-7 years working experience in Branding, Corporate Communication, Events and/or PR/integrated advertising with 2 years in management role.
3. Knowledge: Brand Management: branding metrics and monitoring
• Communication Management
• Physical branding
• Press Relations principles
• Finance & Banking industry
• Branding Marketing
• Branding materials
• Events organizing
4. Skills
• Content Producing Tools
• Writing skill
• Media Monitoring Tools
• Resources searching
• Communication
• Creativity
• Time Management
• Active learning - Design Thinking - Report Writing
• Supervisory Skill
• Task Management",2025-05-15,"Tiếp Thị, Quảng Cáo/Truyền Thông",Tài Chính,7.0,Cao đẳng,Không hiển thị,,Trưởng phòng,"Brand Communication, Internal Communications, Integrated Marketing Communication, Corporate Branding, Communication CSR Branding",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Quản Lý Thương Hiệu, Tài Chính, Brand Communication, Internal Communications, Integrated Marketing Communication, Corporate Branding, Communication CSR Branding, Shinhan Vietnam Finance Company Limited, Hồ Chí Minh",Quản Lý Thương Hiệu,0,100
"[Logistics] Sales Assistant Manager (Coload, Consolidation) - Air Freight",Navigos Search's Client,"$ 1,000-2,000 /tháng","Hà Nội, Hanoi, Vietnam, Hai Phong, Vietnam, Thành phố Đà Nẵng, Quận Hải Châu, Đà Nẵng, Việt Nam, Hanoi",,2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Cung cấp nhân lực,0.0,Không giới hạn,Không hiển thị,,Nhân viên,"Sales Logistics, Logistics, Air Freight Experience, Consolidation Service, Sales growth strategies",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Cung cấp nhân lực, Sales Logistics, Logistics, Air Freight Experience, Consolidation Service, Sales growth strategies, Navigos Search's Client, Hà Nội, Hải Phòng, Đà Nẵng",Vận Tải/Giao Nhận Hàng Hóa,0,100
"[Logistics] Senior Air Pricing (Coload, Consolidation)",Navigos Search's Client,"$ 800-1,500 /tháng","Hà Nội, Hanoi, Vietnam, Hai Phong, Vietnam, Hanoi",,2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Cung cấp nhân lực,0.0,,,,Nhân viên,"Pricing Experience, Air Freight Experience, Logistics, Negotiation Skills, Strategic Pricing",Bất kỳ,Không hiển thị,,,,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Cung cấp nhân lực, Pricing Experience, Air Freight Experience, Logistics, Negotiation Skills, Strategic Pricing, Navigos Search's Client, Hà Nội, Hải Phòng",Vận Tải/Giao Nhận Hàng Hóa,0,100
"[Logistics] Senior Operation Executive (Coload, Consolidation) - Air Freight",Navigos Search's Client,"$ 800-1,300 /tháng","Hà Nội, Hanoi, Vietnam, Hai Phong, Vietnam, Đà Nẵng, Hải Châu, Đà Nẵng, Việt Nam, Hanoi",,2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Cung cấp nhân lực,0.0,,,,Nhân viên,"Consolidation Skills, Logistics, Freight, Air Freight Experience, Sales Logistics",Bất kỳ,Không hiển thị,,,,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Cung cấp nhân lực, Consolidation Skills, Logistics, Freight, Air Freight Experience, Sales Logistics, Navigos Search's Client, Hà Nội, Hải Phòng, Đà Nẵng",Vận Tải/Giao Nhận Hàng Hóa,0,100
Nhân Viên Phòng Quản Lý Chất Lượng Biết Tiếng Trung,Công Ty TNHH Oki Việt Nam,Thương lượng,"Nhà xưởng P-1.4, Lô P-1, Khu công nghiệp Tràng Duệ thuộc Khu kinh tế Cát Hải - Đình Vũ, xã An Hòa, huyện An Dương, thành phố Hải Phòng., KCN Tràng Duệ, An Dương, Hải Phòng","- Tốt nghiệp Đại học
- Có kinh nghiệm làm Quản lý chất lượng 2 năm trở lên
- Giới tính: Nam
- Ứng viên sử dụng thành thạo thiết bị đo 3D.
- Ngoại ngữ bắt buộc: Tiếng Trung (thành thạo)
- Biết tiếng Nhật là một lợi thế
- Sử dụng thành thạo tin học văn phòng",2025-05-15,Công Nghệ Thông Tin/Viễn Thông,Sản xuất,2.0,,,,Nhân viên,Bảo trì máy móc,Bất kỳ,Không hiển thị,,,,"Công Nghệ Thông Tin/Viễn Thông, QA/QC/Software Testing, Sản xuất, Bảo trì máy móc, Công Ty TNHH Oki Việt Nam, Hải Phòng",QA/QC/Software Testing,0,100
Quản Lí Bộ Phận Kinh Doanh (Nghỉ T7-Cn; Làm 7.5H/ngày),CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU BASF VIỆT NAM,Thương lượng,"Duy Tân, Cầu Giấy, Hà Nội","YÊU CẦU
* Vị trí Nhân viên Sale:
- Tốt nghiệp Đại học trở lên (ưu tiên ngành Tiếng Anh thương mại, Thương mại quốc tế, Kinh tế hoặc liên quan).
- Tiếng Anh lưu loát (giao tiếp, đọc hiểu tài liệu, soạn thảo email/văn bản).
- Thành thạo tin học văn phòng (Word, Excel, PowerPoint).
- Ưu tiên ứng viên có kinh nghiệm kinh doanh/quản lý khách hàng hoặc biết sử dụng CRM, phần mềm quản lý đơn hàng (được đào tạo thêm nếu cần).
- Sinh viên mới tốt nghiệp có định hướng phát triển trong lĩnh vực xuất nhập khẩu được cân nhắc.
Phúc Lợi
- Mức lương cạnh tranh, thưởng theo hiệu quả công việc. (thử việc 2 tháng) (lương thỏa thuận khi phỏng vấn)
- Môi trường làm việc năng động, chuyên nghiệp.
- Nhận được mức đãi ngộ xứng đáng với năng lực, bao gồm mức lương cạnh tranh hàng đầu thị trường (thỏa thuận trực tiếp khi phỏng vấn) và thưởng hiệu suất hấp dẫn, ghi nhận những đóng góp xuất sắc của bạn.
- Không ngừng phát triển bản thân thông qua các chương trình đào tạo bài bản và cơ hội thăng tiến rộng mở.
- Tận hưởng lịch làm việc lý tưởng: chỉ 8 tiếng/ngày từ thứ Hai đến thứ Sáu, trọn vẹn ngày nghỉ cuối tuần để tái tạo năng lượng.
- Lương cứng 10-15tr/tháng (không phụ thuộc KPI) + thưởng hiệu suất.
- Thử việc 2 tháng
- Môi trường năng động, chuyên nghiệp, cơ hội thăng tiến rõ ràng.
- Được đào tạo nghiệp vụ và hỗ trợ công cụ làm việc.",2025-05-15,Kinh Doanh,Nhập khẩu/Xuất khẩu,0.0,Cử nhân,Không hiển thị,08:00 - 17:30,Mới Tốt Nghiệp,"Tin Học Văn Phòng, Soạn Thảo Văn Bản, Thương Mại Quốc Tế, Xuất nhập khẩu, Đọc Hiểu Tài Liệu Chuyên Môn",Tiếng Việt,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Nhập khẩu/Xuất khẩu, Tin Học Văn Phòng, Soạn Thảo Văn Bản, Thương Mại Quốc Tế, Xuất nhập khẩu, Đọc Hiểu Tài Liệu Chuyên Môn, CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU BASF VIỆT NAM, Hà Nội",Bán Hàng/Phát Triển Kinh Doanh,0,100
Giám Đốc Phát Triển Kinh Doanh BĐS Nghỉ Dưỡng Người Hội Tụ,CÔNG TY CỔ PHẦN UNIK XANH,Thương lượng,"Tầng 11 tòa nhà Văn phòng số 4 phố Liễu Giai, phường Cống Vị, quận Ba Đình, Thành phố Hà Nội, Việt Nam, Tầng 11, TID Center, Phố Liễu Giai, Vĩnh Phúc, Ba Đình, Hà Nội, Việt Nam","• Tốt nghiệp đại học chuyên ngành Quản trị Kinh doanh, Kinh tế, Bất động sản, Marketing hoặc các ngành liên quan.
• Có chứng chỉ đào tạo hoặc kinh nghiệm thực tế liên quan đến Wellness Real Estate, ESG, hoặc Hospitality Investment là một lợi thế.
• Tối thiểu 7 năm kinh nghiệm trong lĩnh vực bất động sản nghỉ dưỡng, đầu tư hoặc phân phối BĐS cao cấp, ưu tiên đã từng phát triển sản phẩm gắn với yếu tố wellness hoặc thị trường quốc tế.
• Từng giữ vai trò quản lý cấp trung/cao tại các tập đoàn bất động sản hoặc công ty phân phối hàng đầu.
• Có kinh nghiệm xây dựng và triển khai chiến lược bán hàng quốc tế, làm việc với nhà đầu tư nước ngoài, đại lý toàn cầu và quỹ đầu tư.
• Hiểu biết sâu về xu hướng bất động sản tích hợp wellness, ESG, và trải nghiệm sống chất lượng cao.
• Kỹ năng phân tích thị trường, xây dựng chiến lược, lãnh đạo đội nhóm và tư duy kết nối hệ sinh thái.
• Khả năng giao tiếp tiếng Anh xuất sắc, ưu tiên ứng viên từng làm việc tại thị trường nước ngoài hoặc môi trường đa quốc gia.",2025-05-15,Kinh Doanh,Kỹ thuật xây dựng/Cơ sở hạ tầng,7.0,Cử nhân,Không hiển thị,09:00 - 18:00,Giám Đốc và Cấp Cao Hơn,"Chiến Lược Kinh Doanh, Phát Triển Thị Trường, Quản Trị Đội Ngũ, Giao Tiếp Tiếng Anh, Phát Triển Kinh Doanh",Tiếng Việt,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Kỹ thuật xây dựng/Cơ sở hạ tầng, Chiến Lược Kinh Doanh, Phát Triển Thị Trường, Quản Trị Đội Ngũ, Giao Tiếp Tiếng Anh, Phát Triển Kinh Doanh, CÔNG TY CỔ PHẦN UNIK XANH, Hà Nội",Bán Hàng/Phát Triển Kinh Doanh,0,100
Nhân Viên Kinh Doanh Động Cơ Điện (Đi Thị Trường - Thu Nhập Hấp Dẫn),CÔNG TY TNHH KỸ THUẬT HẢI ÂU,Thương lượng,"855 Kinh Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM, 855 Kinh Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM","• Tốt nghiệp trung cấp hay cao đẳng các ngành điện, điện tử, cơ điện tử, điện tự động, điện công nghiệp, cơ khí…
• Ưu tiên có kinh nghiệm 2-3 năm về bán hàng kỹ thuật, thiết bị công nghiệp như động cơ điện, động cơ giảm tốc, hộp giảm tốc, biến tần, máy bơm, van, máy nén khí, máy thổi khí…
• Ưu tiên ứng viên có mối quan hệ sẵn có với các nhà máy sản xuất, chế tạo máy (OEM)…
• Siêng năng, chăm chỉ, chịu khó, kiên nhẫn, yêu thích công việc bán hàng, thích giao tiếp và gặp khách hàng, chịu được áp lực công việc…
• Sẵn sàng đi công tác.",2025-05-15,Kinh Doanh,Cơ khí/Máy móc/Thiết bị công nghiệp,2.0,,,,Nhân viên,"Giải Pháp Bán Hàng, Điện Tử, Cơ Khí, Giao Tiếp, Chăm Sóc Khách Hàng",Tiếng Việt,Không hiển thị,,,,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Cơ khí/Máy móc/Thiết bị công nghiệp, Giải Pháp Bán Hàng, Điện Tử, Cơ Khí, Giao Tiếp, Chăm Sóc Khách Hàng, CÔNG TY TNHH KỸ THUẬT HẢI ÂU, Hồ Chí Minh",Bán Hàng/Phát Triển Kinh Doanh,0,100
